user,O,C,E,A,N,risk_score_personality,total_logins,avg_login_hour,std_login_hour,after_hours_logins,weekend_logins,unique_pcs,login_days_span,after_hours_ratio,weekend_ratio,usb_connects,usb_after_hours,usb_weekend,usb_unique_pcs,usb_after_hours_ratio,avg_session_min,max_session_min,total_sessions,file_copy_count,file_copy_after_hours,file_copy_weekend,file_unique_pcs,file_unique_extensions,file_avg_content_len,file_total_content_len,file_after_hours_ratio,role,business_unit,functional_unit,department,team,left_company,role_encoded,business_unit_encoded,functional_unit_encoded,department_encoded,team_encoded,exfiltration_risk,composite_risk_score
CEL0561,40,39,36,19,40,60.32520325203252,615,10.49430894308943,2.328036905364149,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,0,0,0,0,0,0,0.0,12.065040650406504
CRD0624,26,22,17,39,32,45.040650406504064,50,8.7,3.939594923753622,3,0,1,60,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,1,1,0,1,1,1,0.0,11.91401243424199
JFC0557,22,16,23,40,33,50.89430894308943,615,10.50081300813008,2.368959691928158,0,0,1,497,0.0,0.0,1399.0,0.0,0.0,1.0,0.0,19.10436823104693,151.15,1385.0,2839.0,0.0,0.0,1.0,6.0,356.0908770693906,1010942.0,0.0,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,0,2,0,0,0,0,0.0,10.178861788617885
ASD0577,40,48,36,14,37,53.82113821138211,346,8.0,0.0,0,0,1,496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,0,3,0,2,2,2,0.0,10.764227642276422
MAR0955,36,44,23,44,25,9.918699186991873,302,7.043046357615894,1.0973244376354112,3,1,1,424,0.009933774834437,0.0033112582781456,21.0,11.0,5.0,1.0,0.5238095238095238,3.764166666666666,21.53333333333333,20.0,69.0,43.0,24.0,1.0,5.0,349.1159420289855,24089.0,0.6231884057971014,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,1,3,0,2,2,3,2.6821380318922894,25.94496127674163
GRM0868,21,25,20,13,28,67.15447154471545,346,7.0,0.0,0,0,1,496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,0,1,0,1,1,4,0.0,13.43089430894309
AAL0706,37,14,28,13,25,74.47154471544715,346,7.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,0,3,0,2,2,5,0.0,14.89430894308943
RVC0232,34,20,47,38,25,40.16260162601626,346,7.546242774566474,0.4985780232195325,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mathematician,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,0,4,0,0,3,6,0.0,8.03252032520325
TCD0009,44,28,44,38,23,30.081300813008127,346,8.0,0.0,0,0,1,496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AdministrativeAssistant,1,1 - Adminstration,Unknown,Unknown,0,5,0,3,4,7,0.0,6.016260162601625
ASM0575,42,25,21,45,30,33.00813008130082,621,10.07890499194847,2.42471603106044,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,0,3,0,2,2,2,0.0,6.601626016260163
